Sl,PID,FN,LN,Pos,Coun,DOB
123,136,Willie,Boland,M,Ireland,06-Aug-75
124,137,Lee,Hurst,M,England,21-Sep-70
125,138,John,Williams,F,England,05-Nov-68
126,139,Roy,Wegerle,F,United States,19-Mar-64
127,140,Leigh,Jenkinson,F,England,09-Jul-69
128,141,Tony,Sheridan,F,Ireland,21-Oct-74
129,142,Mick,Quinn,F,England,17-Dec-69
130,143,Peter,Ndlovu,F,Zimbabwe,25-Feb-73
131,146,Nigel,Martyn,G,England,11-Aug-66
132,147,John,Humphrey,D,England,31-Jan-61
133,148,Andy,Thorn,D,England,12-Nov-66
134,149,Paul,Williams,D,England,16-Aug-65
135,150,Eric,Young,D,Wales,25-Mar-60
136,151,Dean,Gordon,D,England,10-Feb-73
137,152,Chris,Coleman,D,Wales,10-Jun-70
138,153,Gareth,Southgate,D,England,03-Sep-70
139,154,Richard,Shaw,D,England,11-Sep-68
140,155,Bobby,Bowry,M,England,19-May-71
141,156,Eddie,McGoldrick,M,Ireland,30-Apr-65
142,157,Stuart,Massey,M,England,17-Nov-64
143,158,Paul,Mortimer,M,England,08-May-68
144,159,John,Salako,M,England,11-Feb-69
145,160,Simon,Rodger,M,England,03-Oct-71
146,161,Lee,Sinnott,M,England,12-Jul-65
147,162,Ricky,Newman,M,England,05-Aug-70
148,165,Geoff,Thomas,M,England,05-Aug-64
149,167,Chris,Armstrong,F,England,19-Jun-71
150,168,George,Ndah,F,England,23-Dec-74
151,169,Grant,Watts,F,England,05-Nov-73
152,171,Jason,Kearton,G,Australia,09-Jul-69
153,172,Neville,Southall,G,Wales,16-Sep-58
154,173,Gerry,Peyton,G,Ireland,20-May-56
155,174,Dave,Watson,D,England,20-Nov-61
156,175,Iain,Jenkins,D,Northern Ireland,24-Nov-72
157,176,Neil,Moore,D,England,21-Sep-72
158,177,Matt,Jackson,D,England,19-Oct-71
159,178,Kenny,Sansom,D,England,26-Sep-58
160,179,Andy,Hinchcliffe,D,England,05-Feb-69
161,180,Gary,Ablett,D,England,19-Nov-65
162,181,David,Unsworth,D,England,16-Oct-73
163,182,Paul,Holmes,D,England,18-Feb-68
164,183,Alan,Harper,D,England,01-Nov-60
165,184,Mark,Ward,D,England,10-Oct-62
166,185,Billy,Kenny,M,England,19-Sep-73
167,186,Barry,Horne,M,Wales,18-May-62
168,187,Peter,Beagrie,M,England,28-Nov-65
169,189,Ian,Snodin,M,England,15-Aug-63
170,190,Robert,Warzycha,M,Poland,20-Aug-63
171,191,Predrag,Radosavljevic,M,United States,24-Jun-63
172,192,John,Ebbrell,M,England,01-Oct-69
173,193,Tony,Cottee,F,England,11-Jul-65
