Sl,PID,FN,LN,Pos,Coun,DOB
1102,1250,Egil,Ostenstad,F,Norway,02-Jan-72
1103,1251,Steve,Basham,F,England,12-Feb-77
1104,1252,Lionel,Perez,G,France,24-Apr-67
1105,1253,Michael,Gray,D,England,03-Aug-74
1106,1254,Andy,Melville,D,Wales,29-Nov-68
1107,1255,Darren,Holloway,D,England,03-Oct-77
1108,1256,Richard,Ord,D,England,03-Mar-70
1109,1257,Lee,Howey,D,England,01-Apr-69
1110,1258,Martin,Scott,D,England,07-Jan-68
1111,1259,Alex,Rae,M,Scotland,30-Sep-69
1112,1260,Darren,Williams,M,England,28-Apr-77
1113,1261,Kevin,Ball,M,England,12-Nov-64
1114,1262,Jonjo,Dickman,M,England,11-Oct-81
1115,1263,Jan,Eriksson,M,Sweden,24-Aug-67
1116,1264,John,Mullin,M,England,11-Aug-75
1117,1265,Craig,Russell,F,England,04-Feb-74
1118,1267,Allan,Johnston,F,Scotland,14-Dec-73
1119,1268,David,Kelly,F,Ireland,25-Nov-65
1120,1269,Martin,Smith,F,England,13-Nov-74
1121,1270,Michael,Bridges,F,England,05-Aug-78
1122,1272,Espen,Baardsen,G,Norway,07-Dec-77
1123,1274,Ramon,Vega,D,Switzerland,14-Jun-71
1124,1275,Allan,Nielsen,M,Denmark,13-Mar-71
1125,1277,Steffen,Iversen,F,Norway,11-Oct-76
1126,1278,Paul,McVeigh,F,Northern Ireland,06-Dec-77
1127,1280,Hugo,Porfirio,M,Portugal,28-Sep-73
1128,1281,Lee,Boylan,F,Ireland,02-Sep-78
1129,1282,Ben,Thatcher,D,Wales,30-Nov-75
1130,1283,Duncan,Jupp,D,Scotland,25-Jan-75
1131,1284,Carl,Cort,F,Guyana,01-Nov-77
1132,1285,Oleksandr,Yevtushok,D,Ukraine,11-Jan-70
1133,1286,Regis,Genaux,D,Belgium,31-Mar-73
1134,1287,Paul,Shepherd,F,England,17-Nov-77
1135,1288,Nikola,Jerkan,D,Croatia,08-Dec-64
1136,1289,Orlando,Trustfull,M,Netherlands,04-Aug-70
1137,1290,Graham,Potter,M,England,20-May-75
1138,1291,Aly,Dia,F,Senegal,20-Aug-65
1139,1292,Russ,Watkinson,F,England,03-Dec-77
1140,1293,Florin,Raducioiu,F,Romania,17-Mar-70
1141,1294,Paulo Jorge,dos Santos Futre,F,Portugal,28-Feb-66
1142,1295,Stuart,Taylor,G,England,28-Nov-80
1143,1296,Alexander,Manninger,G,Austria,04-Jun-77
1144,1297,Gilles,Grimandi,D,France,11-Nov-70
1145,1298,Nelson,Vivas,D,Argentina,18-Oct-69
1146,1299,Marc,Overmars,M,Netherlands,29-Mar-73
1147,1300,Emmanuel,Petit,M,France,22-Sep-70
1148,1302,Richard,Hughes,M,Scotland,25-Jun-79
1149,1303,Paolo,Vernazza,M,England,01-Nov-79
1150,1304,Alberto,Mendez,M,Germany,24-Oct-74
1151,1305,Christopher,Wreh,F,Liberia,14-May-75
1152,1306,Luis,Boa Morte,F,Portugal,04-Aug-77
1153,1308,Gareth,Barry,M,England,23-Feb-81
1154,1309,Darius,Vassell,F,England,30-Jun-80
1155,1311,David,Watson,G,England,10-Nov-73
1156,1312,Peter,Markstedt,D,Netherlands,11-Jan-72
1157,1313,Chris,Morgan,D,England,09-Nov-77
1158,1314,Ales,Krizan,D,Slovenia,25-Jul-71
1159,1315,Arjan,De Zeeuw,D,Netherlands,16-Apr-70
1160,1316,Nicholas,Eaden,D,England,12-Dec-72
1161,1317,Adrian,Moses,D,England,04-May-75
1162,1318,Scott,Jones,D,England,01-May-75
1163,1319,Darren,Sheridan,M,England,08-Dec-67
1164,1320,Martin,Bullock,M,England,05-Mar-75
1165,1322,Neil,Redfearn,M,England,20-Jun-65
1166,1323,Jovo,Bosancic,M,Serbia,07-Aug-70
1167,1324,Georgi,Hristov,F,Macedonia,30-Jan-76
1168,1325,Clint,Marcelle,F,Trinidad And Tobago,09-Nov-68
1169,1326,Andy,Liddell,F,Scotland,28-Jun-73
1170,1331,Martin,Taylor,D,England,09-Nov-79
1171,1333,Callum,Davidson,D,Scotland,25-Jun-76
1172,1334,Patrick,Valery,D,France,03-Jul-69
1173,1335,Stéphane,Henchoz,D,Switzerland,07-Mar-74
1174,1336,Damien,Johnson,M,Northern Ireland,18-Nov-78
1175,1337,David,Dunn,M,England,27-Dec-79
1176,1339,Anders,Andersson,F,Sweden,15-Mar-74
1177,1340,Martin,Dahlin,F,Sweden,16-Apr-68
1178,1342,Jussi,Jääskeläinen,G,Finland,19-Apr-75
1179,1343,Hasney,Aljofree,D,England,11-Jul-78
1180,1344,Mark,Fish,D,South Africa,14-Mar-74
1181,1345,Michael,Johansen,M,Denmark,22-Jul-72
1182,1346,Per,Frandsen,M,Denmark,06-Feb-70
1183,1347,Gaetano,Giallanza,F,Switzerland,06-Jun-74
1184,1348,Bob,Taylor,F,England,03-Feb-67
1185,1349,Arnar,Gunnlaugsson,F,Iceland,06-Mar-73
1186,1350,Ed,de Goey,G,Netherlands,20-Dec-66
1187,1351,Laurent,Charvet,D,France,08-May-73
1188,1352,Bernard,Lambourde,D,France,11-May-71
1189,1353,John,Terry,D,England,07-Dec-80
1190,1354,Nick,Crittenden,M,England,11-Nov-78
1191,1355,Gustavo,Poyet,M,Uruguay,25-Nov-67
1192,1356,Tore Andre,Flo,F,Norway,15-Jun-73
1193,1358,Magnus,Hedman,G,Sweden,19-Mar-73
1194,1359,Chris,Kirkland,G,England,02-May-81
1195,1360,Trond Egil,Soltvedt,M,Norway,15-Feb-67
1196,1361,George,Boateng,M,Netherlands,05-Sep-75
1197,1362,Gavin,Strachan,M,Scotland,23-Dec-78
1198,1363,Simon,Haworth,F,England,30-Mar-77
1199,1364,Kyle,Lightbourne,F,Bermuda,29-Sep-68
1200,1365,Martin,Johansen,F,Denmark,22-Jul-72
1201,1366,Viorel,Moldovan,F,Romania,08-Jul-72
1202,1367,Carlo,Nash,G,England,13-Sep-73
1203,1368,Kevin,Miller,G,England,15-Mar-69
1204,1369,Valérien,Ismaël,D,France,28-Sep-75
1205,1370,Marc,Edworthy,D,England,24-Dec-72
1206,1371,Hermann,Hreidarsson,D,Iceland,11-Jul-74
1207,1372,Jamie,Smith,D,England,17-Sep-74
1208,1373,Itzik,Zohar,M,Israel,31-Oct-70
1209,1374,Jamie,Fullarton,M,England,20-Jul-74
1210,1375,Tony,Folan,M,Ireland,18-Sep-78
1211,1376,Attilio,Lombardo,M,Italy,06-Jan-66
1212,1377,Patrizio,Billio,M,Italy,19-Apr-74
1213,1378,Robert,Quinn,M,England,08-Nov-76
1214,1379,Hayden,Mullins,M,England,27-Mar-79
1215,1380,Leon,McKenzie,F,England,17-May-78
1216,1381,Matt,Jansen,F,England,20-Oct-77
1217,1382,Marcus,Bent,F,England,19-May-78
1218,1383,Michele,Padovano,F,Italy,28-Aug-66
1219,1384,Clinton,Morrison,F,Ireland,14-May-79
1220,1388,Robert,Kozluk,D,England,05-Aug-77
1221,1389,Steve,Elliott,D,England,29-Oct-78
1222,1390,Marc,Bridge-Wilkinson,M,England,16-Mar-79
1223,1391,Rory,Delap,M,Ireland,06-Jul-76
1224,1392,Stefano,Eranio,M,Italy,29-Dec-68
1225,1393,Deon,Burton,F,Jamaica,25-Oct-76
1226,1394,Francesco,Baiano,F,Italy,24-Feb-68
1227,1395,Jonathan,Hunt,F,England,02-Nov-71
1228,1396,Thomas,Myhre,G,Norway,16-Oct-73
1229,1397,Adam,Farley,D,England,12-Jan-80
1230,1399,Tony,Thomas,D,England,12-Jul-71
1231,1400,Jamie,Milligan,M,England,03-Jan-80
1232,1401,John,Oster,M,Wales,08-Dec-78
1233,1402,Francis,Jeffers,F,England,25-Jan-81
1234,1403,Mickaël,Madar,F,France,08-May-68
1235,1404,Paul,Robinson,G,England,15-Oct-79
1236,1405,Martin,Hiden,D,Austria,11-Mar-73
1237,1407,Stephen,McPhail,M,Ireland,09-Dec-79
1238,1409,David,Robertson,M,Scotland,17-Oct-68
1239,1410,Bruno,Ribeiro,M,Portugal,22-Oct-75
1240,1411,Matthew,Jones,M,Wales,01-Sep-80
1241,1412,Alan,Smith,F,England,28-Oct-80
1242,1413,Jimmy Floyd,Hasselbaink,F,Netherlands,27-Mar-72
1243,1414,Lee,Matthews,F,England,16-Jan-79
1244,1415,Pegguy,Arphexad,G,France,18-May-73
1245,1417,Theo,Zagorakis,M,Greece,27-Oct-71
1246,1418,Lawrie,Dudfield,F,England,07-May-80
1247,1420,Brad,Friedel,G,United States,18-May-71
1248,1421,Stephen,Wright,D,England,08-Feb-80
1249,1423,Danny,Murphy,M,England,18-Mar-77
1250,1425,Karl-Heinz,Riedle,F,Germany,16-Sep-65
1251,1426,Danny,Higginbotham,D,Gibraltar,29-Dec-78
1252,1427,John,Curtis,D,England,03-Sep-78
1253,1428,Mark,Wilson,M,England,09-Feb-79
1254,1429,Jonathan,Greening,M,England,02-Jan-79
1255,1432,Erik,Nevland,F,Norway,10-Nov-77
1256,1433,Alessandro,Pistone,D,Italy,27-Jul-75
1257,1435,David,Terrier,D,France,04-Aug-73
1258,1436,Nikolaos,Dabizas,D,Greece,03-Aug-73
1259,1437,Andy,Griffin,D,England,17-Mar-79
1260,1438,Jamie,McClen,M,England,13-May-79
1261,1439,Temuri,Ketsbaia,M,Georgia,18-Mar-68
1262,1442,James,Coppinger,M,England,18-Jan-81
1263,1443,Andreas,Andersson,F,Sweden,10-Apr-74
1264,1444,Jon Dahl,Tomasson,F,Denmark,29-Aug-76
1265,1445,Emerson,Thome,D,Brazil,30-Mar-72
1266,1446,Petter,Rudi,M,Norway,17-Sep-73
1267,1447,Niclas,Alexandersson,M,Sweden,29-Dec-71
1268,1448,Mark,McKeever,M,Northern Ireland,16-Nov-78
1269,1449,Richard,Cresswell,F,England,20-Sep-77
1270,1450,Christian,Mayrleb,F,Austria,08-Jun-72
1271,1451,Paolo,Di Canio,F,Italy,09-Jul-68
1272,1452,Francesco,Sanetti,F,Italy,11-Jan-79
1273,1453,Manuel Junior,Agogo,F,Ghana,01-Aug-79
1274,1454,Alan,Quinn,F,Ireland,13-Jun-79
1275,1455,Paul,Jones,G,Wales,18-Apr-67
1276,1457,Phil,Warner,D,England,02-Feb-79
1277,1458,Wayne,Bridge,D,England,05-Aug-80
1278,1459,Lee,Todd,D,England,07-Mar-72
1279,1461,Andy,Williams,D,Wales,08-Oct-77
1280,1462,Kevin,Gibbens,M,England,04-Nov-79
1281,1464,Luke,Young,D,England,19-Jul-79
1282,1465,Moussa,Saib,M,Algeria,03-Jun-69
1283,1466,Nicola,Berti,M,Italy,14-Apr-67
1284,1468,Jose,Dominguez,F,Portugal,16-Feb-74
1285,1471,Bernard,Lama,G,France,07-Apr-63
1286,1472,Stephen,Bywater,G,England,07-Jun-81
1287,1474,Samassi,Abou,F,France,04-Aug-73
1288,1475,Andy,Roberts,M,England,20-Mar-74
1289,1476,Damien,Francis,M,Jamaica,27-Feb-79
1290,1477,Carl,Leaburn,M,England,30-Mar-69
1291,1478,Ceri,Hughes,M,Wales,26-Feb-71
1292,1479,Eric,Tinkler,M,South Africa,30-Jul-70
1293,1480,Laurens,Ten Heuvel,F,Netherlands,06-Jun-76
1294,1481,Lars,Leese,G,Germany,18-Aug-69
1295,1482,Neil,Emblen,D,England,19-Jun-71
1296,1483,Gareth,Davies,D,Wales,11-Dec-73
1297,1484,Carl,Veart,M,Australia,21-May-70
1298,1485,Ivano,Bonetti,M,Italy,08-Jan-64
1299,1486,Kevin,Muscat,D,Australia,07-Aug-73
1300,1487,Goce,Sedloski,D,Macedonia,10-Apr-74
1301,1488,Patrick,Blondeau,D,France,27-Jan-68
1302,1489,Jason,Bowen,M,Wales,24-Aug-72
1303,1490,Stig,Johansen,F,Norway,13-Jun-72
1304,1491,Paulo Lourenco Martins,Alves,F,Portugal,10-Dec-69
1305,1492,Stale,Solbakken,M,Norway,27-Feb-68
1306,1493,David,Grondin,D,France,08-May-80
1307,1494,Ashley,Cole,D,England,20-Dec-80
1308,1495,Jermaine,Pennant,M,England,15-Jan-83
1309,1496,Tommy,Black,M,Scotland,26-Nov-79
1310,1497,Fredrik,Ljungberg,M,Sweden,16-Apr-77
1311,1498,Kaba,Diawara,F,Guinea,16-Dec-75
1312,1499,Graham,Barrett,F,Ireland,06-Oct-81
1313,1501,Fabian,Caballero,F,Argentina,31-Jan-78
1314,1502,Nwankwo,Kanu,F,Nigeria,01-Aug-76
1315,1503,Peter,Enckelman,G,Finland,10-Mar-77
1316,1504,Mark,Delaney,D,Wales,13-May-76
1317,1505,Jlloyd,Samuel,D,Trinidad And Tobago,29-Mar-81
1318,1510,Sébastien,Pérez,D,France,24-Nov-73
1319,1511,Dario,Marcolin,M,Italy,28-Oct-71
1320,1513,Simon,Royce,G,England,09-Sep-71
1321,1514,Sasa,Ilic,G,Serbia,18-Jul-72
1322,1515,Paul,Konchesky,D,England,15-May-81
1323,1516,Steve,Brown,D,England,13-May-72
1324,1517,Richard,Rufus,D,England,12-Jan-75
1325,1518,Scott,Parker,M,England,13-Oct-80
1326,1519,Shaun,Newton,M,England,20-Aug-75
1327,1520,Mark,Kinsella,M,Ireland,12-Aug-72
1328,1522,John,Robinson,M,Wales,29-Aug-71
1329,1523,Martin,Pringle,F,Sweden,18-Nov-70
1330,1524,Charlie,MacDonald,F,England,13-Feb-81
1331,1526,Jermain,Defoe,F,England,07-Oct-82
1332,1527,Clive,Mendonca,F,England,09-Sep-68
1333,1528,Andy,Hunt,F,England,09-Jun-70
1334,1529,Kevin,Lisbie,F,Jamaica,17-Oct-78
1335,1532,Albert,Ferrer,D,Spain,06-Jun-70
1336,1533,Marcel,Desailly,D,France,07-Sep-68
1337,1534,Robert,Wolleaston,M,England,21-Dec-79
1338,1535,Samuele,Dalla Bona,M,Italy,06-Feb-81
1339,1536,Bjarne,Goldbaek,M,Denmark,06-Oct-68
1340,1537,Pierluigi,Casiraghi,F,Italy,04-Mar-69
1341,1538,Mikael,Forssell,F,Finland,15-Mar-81
1342,1539,Mohammed,Konjic,D,Bosnia And Herzegovina,14-May-70
1343,1540,Barry,Quinn,M,Ireland,09-May-79
1344,1541,Paul,Hall,M,Jamaica,03-Jul-72
1345,1542,Gary,McSheffrey,F,England,13-Aug-82
1346,1543,John,Aloisi,F,Australia,05-Feb-76
1347,1544,Stefano,Gioacchini,F,Italy,25-Nov-76
1348,1545,Stefan,Schnoor,D,Germany,24-Apr-71
1349,1546,Horacio,Carbonari,D,Argentina,02-May-74
1350,1547,Vassilis,Borbokis,D,Greece,10-Feb-69
1351,1548,Richard,Jackson,D,England,18-Apr-80
1352,1549,Paul,Boertien,D,England,20-Jan-79
1353,1550,Kevin,Harper,M,Scotland,15-Jan-76
1354,1551,Adam,Murray,M,England,30-Sep-81
1355,1552,Marvin,Robinson,F,Jamaica,11-Apr-80
1356,1553,Malcolm,Christie,F,England,11-Apr-79
1357,1554,Steve,Simonsen,G,England,03-Apr-79
1358,1555,Peter,Clarke,D,England,03-Jan-82
1359,1556,Marco,Materazzi,D,Italy,19-Aug-73
1360,1557,Alex,Cleland,D,Scotland,12-Oct-70
1361,1558,David,Weir,D,Scotland,10-May-70
1362,1559,John,Collins,M,Scotland,31-Jan-68
1363,1560,Olivier,Dacourt,M,France,25-Sep-74
1364,1561,Peter,Degn,M,Denmark,04-Jun-77
1365,1562,Ibrahima,Bakayoko,F,Cote D'Ivoire,31-Dec-76
1366,1564,Gareth,Evans,D,England,15-Feb-81
1367,1565,Jonathan,Woodgate,D,England,22-Jan-80
1368,1567,Clyde,Wijnhard,F,Netherlands,01-Nov-73
1369,1569,Stefan,Oakes,M,England,06-Sep-78
1370,1570,Rigobert,Song,D,Cameroon,01-Jul-76
1371,1571,Djimi,Traore,D,Mali,01-Mar-80
1372,1573,Vegard,Heggem,D,Norway,13-Jul-75
1373,1574,Jean Michel,Ferri,M,France,07-Feb-69
1374,1575,Steven,Gerrard,M,England,30-May-80
1375,1576,Jon,Newby,F,England,28-Nov-78
1376,1577,Sean,Dundee,F,South Africa,07-Dec-72
1377,1580,Jaap,Stam,D,Netherlands,17-Jul-72
1378,1581,Bojan,Djordjic,M,Serbia,06-Feb-82
1379,1582,Jesper,Blomqvist,M,Sweden,05-Feb-74
1380,1583,Marlon,Beresford,G,England,02-Sep-69
1381,1584,Robbie,Stockdale,D,Scotland,30-Nov-79
1382,1585,Luke,Wilkshire,M,Australia,02-Oct-81
1383,1586,Paul,Gascoigne,M,England,27-May-67
1384,1587,Hamilton,Ricard,F,Colombia,12-Jan-74
1385,1588,Marco,Branca,F,Italy,06-Jan-65
1386,1589,Steven,Caldwell,D,Scotland,12-Sep-80
1387,1590,Didier,Domi,D,France,02-May-78
1388,1591,David,Beharall,D,England,08-Mar-79
1389,1592,Carl,Serrant,D,England,12-Sep-75
1390,1593,Stephen,Glass,M,Scotland,23-May-76
1391,1594,Georgios Charalambos,Georgiadis,M,Greece,08-Mar-72
1392,1595,Dietmar,Hamann,M,Germany,27-Aug-73
1393,1596,Silvio,Maric,M,Croatia,20-Mar-75
1394,1597,Nolberto,Solano,M,Peru,12-Dec-74
1395,1598,Louis,Saha,F,France,08-Aug-78
1396,1599,Paul,Robinson,F,England,20-Nov-78
1397,1600,Alan,Rogers,D,England,03-Jan-77
1398,1601,Christian,Edwards,D,Wales,23-Nov-75
1399,1602,Jon Olav,Hjelde,D,Norway,30-Jul-72
1400,1603,Mathieu,Louis-Jean,D,France,22-Feb-76
1401,1604,Chris,Doig,D,Scotland,13-Feb-81
1402,1605,Richard,Gough,M,Scotland,05-Apr-62
1403,1606,Thierry,Bonalair,M,France,14-Jun-66
1404,1607,David,Prutton,M,England,12-Sep-81
1405,1608,Bernard,Allou,F,France,19-Jun-75
1406,1609,Marlon,Harewood,F,England,25-Aug-79
1407,1610,Jean-Claude,Darcheville,F,France,25-Jul-75
1408,1611,Juan,Cobian,D,Argentina,11-Sep-75
1409,1612,Steven,Haslam,D,England,06-Sep-79
1410,1613,Leigh,Bromby,D,England,02-Jun-80
1411,1614,Danny,Sonner,M,Northern Ireland,09-Jan-72
1412,1615,Wim,Jonk,M,Netherlands,12-Dec-66
1413,1616,Philip,Scott,M,Scotland,14-Nov-74
1414,1618,Owen,Morrison,F,Northern Ireland,08-Dec-81
1415,1619,Patrick,Colleter,D,France,11-Jun-65
1416,1620,Garry,Monk,D,England,06-Mar-79
1417,1621,Hassan,Kachloul,M,Morocco,19-Feb-73
1418,1622,Dani,Rodrigues,M,Portugal,03-Mar-80
1419,1623,Marian,Pahars,F,Latvia,05-Aug-76
1420,1624,Shayne,Bradley,F,England,04-Aug-77
1421,1626,Paolo,Tramezzani,D,Italy,30-Jul-70
1422,1627,Ledley,King,D,England,12-Oct-80
1423,1628,Steffen,Freund,M,Germany,19-Jan-70
1424,1629,Peter,Crouch,F,England,30-Jan-81
1425,1630,Javier,Margas,D,Chile,10-May-69
1426,1631,Adam,Newton,D,Saint Kitts And Nevis,12-Apr-80
1427,1632,Joe,Cole,M,England,08-Nov-81
1428,1633,Jimmy,Bullard,M,England,23-Oct-78
1429,1634,Michael,Carrick,M,England,28-Jul-81
1430,1635,Marc Vivien,Foe,M,Cameroon,01-May-75
1431,1636,Marc,Keller,M,France,14-Jan-68
1432,1637,Grant,McCann,M,Northern Ireland,14-Apr-80
1433,1638,Gavin,Holligan,F,England,13-Jun-80
1434,1639,Gareth,Ainsworth,M,England,10-May-73
1435,1640,Keith,Jones,M,England,14-Oct-65
1436,1641,Brian,Laudrup,F,Denmark,22-Feb-69
1437,1642,Philippe,Clement,M,Belgium,22-Mar-74
1438,1643,Darren,Jackson,M,Scotland,25-Jul-66
1439,1644,Jean-Guy,Wallemme,D,France,10-Aug-67
1440,1645,Willem,Korsten,M,Netherlands,21-Jan-75
1441,1646,Charlie,Miller,M,Scotland,18-Mar-76
1442,1647,Stephane,Guivarc'h,F,France,06-Sep-70
1443,1648,Jesper,Mattsson,D,Sweden,18-Apr-68
1444,1649,Stale,Stensaas,D,Norway,07-Jul-71
1445,1650,Oleg,Luzhny,D,Ukraine,05-Aug-68
1446,1651,Sylvinho,Mendes Campos Júnior,D,Brazil,12-Apr-74
1447,1652,Rhys,Weston,D,Wales,27-Oct-80
1448,1653,Brian,McGovern,D,Ireland,28-Apr-80
1449,1655,Stefan,Malz,M,Germany,15-Jun-72
1450,1656,Jérémie,Aliadière,F,France,30-Mar-83
1451,1657,Davor,Suker,F,Croatia,01-Jan-68
1452,1658,Jay,Bothroyd,F,England,05-May-82
1453,1659,Thierry,Henry,F,France,17-Aug-77
1454,1660,Najwan,Ghrayib,D,Israel,30-Jan-74
1455,1661,Jonathan,Bewers,D,England,10-Sep-82
1456,1662,John,McGrath,M,Ireland,27-Mar-80
1457,1664,Andy,O'Brien,D,Ireland,29-Jun-79
1458,1665,Ashley Michael,Westwood,D,England,31-Aug-76
1459,1666,John,Dreyer,D,England,11-Jun-63
1460,1667,Wayne,Jacobs,D,England,03-Feb-69
1461,1668,Gareth,Whalley,M,England,19-Dec-73
1462,1669,Scott,Kerr,M,England,11-Dec-81
1463,1670,Stuart,McCall,M,Scotland,10-Jun-64
1464,1671,Gareth,Grant,F,England,06-Sep-80
1465,1672,Dean,Windass,F,England,01-Apr-69
1466,1673,Robbie,Blake,F,England,04-Mar-76
1467,1674,Lee,Mills,F,England,10-Jul-70
1468,1676,Carlo,Cudicini,G,Italy,06-Sep-73
1469,1677,Mario,Melchiot,D,Netherlands,04-Nov-76
1470,1678,Jes,Hogh,D,Denmark,07-May-66
1471,1679,Didier,Deschamps,M,France,15-Oct-68
1472,1680,Gabriele,Ambrosetti,M,Italy,07-Aug-73
1473,1681,Joe,Keenan,M,England,14-Oct-82
1474,1682,George,Weah,F,Liberia,01-Oct-66
1475,1685,Tomas,Gustafsson,D,Sweden,07-May-73
1476,1686,Robert,Betts,M,England,21-Dec-81
1477,1687,Youssef,Chippo,M,Morocco,10-May-73
1478,1688,Mustapha,Hadji,M,Morocco,16-Nov-71
1479,1689,Runar,Normann,M,Norway,01-Mar-78
1480,1690,Ysrael,Zuniga,F,Peru,27-Aug-76
1481,1691,Cedric,Roussel,F,Belgium,06-Jan-78
1482,1692,Robbie,Keane,F,Ireland,08-Jul-80
1483,1693,Andy,Oakes,G,England,11-Jan-77
1484,1694,Ian,Evatt,D,England,19-Nov-81
1485,1695,Chris,Riggott,D,England,01-Sep-80
1486,1696,Lee,Morris,M,England,30-Apr-80
1487,1697,Adam,Bolder,M,England,25-Oct-80
1488,1698,Seth,Johnson,M,England,12-Mar-79
1489,1699,Esteban,Fuertes,F,Argentina,26-Dec-72
1490,1700,Branko,Strupar,F,Belgium,09-Feb-70
1491,1701,Abel,Xavier,D,Portugal,30-Nov-72
1492,1702,Joe-Max,Moore,F,United States,23-Feb-71
1493,1705,Danny,Hay,D,New Zealand,15-May-75
1494,1706,Eirik,Bakke,M,Norway,13-Sep-77
1495,1707,Danny,Thomas,M,England,01-May-81
1496,1708,Jordan,Stewart,M,England,03-Mar-82
1497,1709,Sander,Westerveld,G,Netherlands,23-Oct-74
1498,1710,Sami,Hyypiä,D,Finland,07-Oct-73
1499,1711,Vladimir,Smicer,M,Czech Republic,24-May-73
1500,1712,Erik,Meijer,F,Netherlands,02-Aug-69
1501,1713,Titi,Camara,F,Guinea,17-Nov-72
1502,1714,Massimo,Taibi,G,Italy,18-Feb-70
1503,1715,Paul,Rachubka,G,United States,21-May-81
1504,1716,Lee,Roche,D,England,28-Oct-80
1505,1717,John,O'Shea,D,Ireland,30-Apr-81
1506,1718,Quinton,Fortune,D,South Africa,21-May-77
1507,1719,Mikaël,Silvestre,D,France,09-Aug-77
1508,1721,Michael,Stewart,M,Scotland,26-Feb-81
1509,1723,Luke,Chadwick,M,England,18-Nov-80
1510,1724,David,Healy,F,Northern Ireland,05-Aug-79
1511,1725,Danny,Webber,F,England,28-Dec-81
1512,1727,Christian,Ziege,D,Germany,01-Feb-72
1513,1728,Carlos,Marinelli,M,Argentina,14-Mar-82
1514,1729,Mark,Hudson,M,England,24-Oct-80
1515,1730,Sean,Kilgannon,M,Scotland,08-Mar-81
1516,1731,John,Karelse,G,Netherlands,17-May-70
1517,1732,Gary,Caldwell,D,Scotland,12-Apr-82
1518,1733,Hélder Marino,Rodrigues Cristóvão,D,Portugal,21-Mar-71
1519,1735,Elena,Marcelino,D,Spain,26-Sep-71
1520,1736,Alain,Goma,D,France,05-Oct-72
1521,1737,Jose Antunes,Fumaca,M,Brazil,15-Jul-76
1522,1739,Diego,Gavilan,M,Paraguay,01-Mar-80
1523,1740,Kieron,Dyer,M,England,29-Dec-78
1524,1742,Simon,Donnelly,M,Scotland,01-Dec-74
1525,1743,Phil,O'Donnell,M,Scotland,25-Mar-72
1526,1744,Gilles,De Bilde,F,Belgium,09-Jun-71
1527,1745,Gerald,Sibon,F,Netherlands,19-Apr-74
1528,1747,Tahar,El-Khalej,D,Morocco,16-Jun-68
1529,1748,Dean,Richards,D,England,09-Jun-74
1530,1749,Jo,Tessem,M,Norway,28-Feb-72
1531,1751,Thomas,Sørensen,G,Denmark,12-Jun-76
1532,1752,Paul,Butler,D,Ireland,02-Nov-72
1533,1753,Thomas,Helmer,D,Germany,21-Apr-65
1534,1754,Jody,Craddock,D,England,25-Jul-75
1535,1756,George,McCartney,D,Northern Ireland,29-Apr-81
1536,1757,Kevin,Kilbane,M,Ireland,01-Feb-77
1537,1758,Paul,Thirlwell,M,England,13-Feb-79
1538,1759,Thomas,Butler,M,Ireland,25-Apr-81
1539,1762,Eric,Roy,M,France,26-Sep-67
1540,1763,Chris,Lumsdon,M,England,15-Dec-79
1541,1765,Carsten,Fredgaard,F,Denmark,20-May-76
1542,1766,Milton,Nunez,F,Honduras,30-Nov-72
1543,1767,Michael,Reddy,F,Ireland,24-Mar-80
1544,1768,Kevin,Phillips,F,England,25-Jul-73
1545,1769,Michael,Proctor,F,England,03-Oct-80
1546,1770,Gary,Doherty,D,Ireland,31-Jan-80
1547,1771,Anthony,Gardner,D,England,19-Sep-80
1548,1772,Matthew,Etherington,M,England,14-Aug-81
1549,1773,Johnnie,Jackson,M,England,15-Aug-82
1550,1774,John,Piercy,M,England,18-Sep-79
1551,1775,Simon,Davies,M,Wales,23-Oct-79
1552,1776,Dave,McEwen,F,England,02-Nov-77
1553,1777,Chris,Day,G,England,28-Jul-75
1554,1778,Darren,Ward,D,England,13-Sep-78
1555,1779,Robert,Page,D,Wales,03-Sep-74
1556,1780,Paul,Robinson,D,England,17-Dec-78
1557,1781,Nigel,Gibbs,D,England,20-Nov-65
1558,1782,James,Panayi,D,England,24-Jan-80
1559,1783,Nordin,Wooter,M,Netherlands,24-Aug-76
1560,1784,Alexandre,Bonnot,M,France,31-Jul-73
1561,1785,Jóhann,Gudmundsson,M,Iceland,05-Dec-77
1562,1786,Adrian,Bakalli,M,Belgium,31-Jul-73
1563,1787,Richard,Johnson,M,England,27-Apr-74
1564,1788,David,Perpetuini,M,England,29-Sep-79
1565,1789,Peter,Kennedy,M,Northern Ireland,10-Sep-73
1566,1790,Micah,Hyde,M,Jamaica,11-Oct-74
1567,1791,Heidar,Helguson,F,Iceland,22-Aug-77
1568,1792,Dominic,Foley,F,Ireland,07-Jul-76
1569,1793,Stephen,Brooker,F,England,10-May-81
1570,1794,Michel,Ngonge,F,Belgium,10-Jan-67
1571,1795,Tommy,Mooney,F,England,11-Aug-71
1572,1796,Nick,Wright,F,England,15-Oct-75
1573,1797,Allan,Smart,F,Scotland,08-Jul-74
1574,1798,Gifton,Noel-Williams,F,England,21-Jan-80
1575,1799,Tommy,Smith,F,England,22-May-80
1576,1802,Shaun,Byrne,M,Ireland,21-Jan-81
